Total Accesses:,7086622
Frames,Missees,Miss Rate
1,6105474,0.861549
2,4570420,0.644936
3,4565324,0.644217
4,4562191,0.643775
5,4560485,0.643534
6,4559398,0.643381
7,4557862,0.643164
8,4554884,0.642744
9,4550133,0.642074
10,4545201,0.641378
11,4542009,0.640927
12,4539832,0.640620
13,4538002,0.640362
14,4535959,0.640074
15,4533718,0.639757
16,4531629,0.639462
17,4529851,0.639212
18,4528211,0.638980
19,4526709,0.638768
20,4525157,0.638549
21,4523569,0.638325
22,4522037,0.638109
23,4520531,0.637896
24,4519141,0.637700
25,4517891,0.637524
26,4516881,0.637381
27,4516023,0.637260
28,4515213,0.637146
29,4514563,0.637054
30,4514026,0.636979
31,4513547,0.636911
32,4513129,0.636852
33,4512712,0.636793
34,4512387,0.636747
35,4512094,0.636706
36,4511813,0.636666
37,4511531,0.636626
38,4511315,0.636596
39,4511094,0.636565
40,4510918,0.636540
41,4510747,0.636516
42,4510564,0.636490
43,4510401,0.636467
44,4510245,0.636445
45,4510111,0.636426
46,4509976,0.636407
47,4509847,0.636389
48,4509707,0.636369
49,4509582,0.636351
50,4509453,0.636333
51,4509323,0.636315
52,4509200,0.636298
53,4509106,0.636284
54,4508994,0.636268
55,4508879,0.636252
56,4508777,0.636238
57,4508691,0.636226
58,4508591,0.636212
59,4508505,0.636199
60,4508419,0.636187
61,4508314,0.636172
62,4508209,0.636158
63,4508123,0.636146
64,4508039,0.636134
65,4507965,0.636123
66,4507866,0.636109
67,4507781,0.636097
68,4507702,0.636086
69,4507632,0.636076
70,4507562,0.636066
71,4507502,0.636058
72,4507415,0.636046
73,4507347,0.636036
74,4507272,0.636025
75,4507185,0.636013
76,4507092,0.636000
77,4507021,0.635990
78,4506940,0.635979
79,4506867,0.635968
80,4506805,0.635960
81,4506741,0.635951
82,4506676,0.635941
83,4506602,0.635931
84,4506529,0.635921
85,4506461,0.635911
86,4506404,0.635903
87,4506346,0.635895
88,4506286,0.635886
89,4506230,0.635878
90,4506177,0.635871
91,4506126,0.635864
92,4506071,0.635856
93,4506016,0.635848
94,4505959,0.635840
95,4505916,0.635834
96,4505876,0.635828
97,4505822,0.635821
98,4505776,0.635814
99,4505721,0.635807
100,4505680,0.635801
101,4505629,0.635794
102,4505589,0.635788
103,4505544,0.635782
104,4505483,0.635773
105,4505441,0.635767
106,4505404,0.635762
107,4505355,0.635755
108,4505306,0.635748
109,4505263,0.635742
110,4505224,0.635736
111,4505172,0.635729
112,4505130,0.635723
113,4505092,0.635718
114,4505050,0.635712
115,4505019,0.635708
116,4504991,0.635704
117,4504944,0.635697
118,4504895,0.635690
119,4504862,0.635685
120,4504829,0.635681
121,4504797,0.635676
122,4504754,0.635670
123,4504723,0.635666
124,4504688,0.635661
125,4504661,0.635657
126,4504625,0.635652
127,4504598,0.635648
128,4504564,0.635643
129,4504523,0.635638
130,4504499,0.635634
131,4504466,0.635630
132,4504436,0.635625
133,4504404,0.635621
134,4504370,0.635616
135,4504346,0.635613
136,4504310,0.635607
137,4504282,0.635604
138,4504240,0.635598
139,4504216,0.635594
140,4504191,0.635591
141,4504169,0.635588
142,4504140,0.635583
143,4504113,0.635580
144,4504086,0.635576
145,4504052,0.635571
146,4504023,0.635567
147,4503996,0.635563
148,4503974,0.635560
149,4503952,0.635557
150,4503925,0.635553
151,4503893,0.635549
152,4503869,0.635545
153,4503848,0.635542
154,4503823,0.635539
155,4503789,0.635534
156,4503764,0.635530
157,4503739,0.635527
158,4503711,0.635523
159,4503693,0.635520
160,4503665,0.635516
161,4503641,0.635513
162,4503620,0.635510
163,4503588,0.635506
164,4503566,0.635503
165,4503549,0.635500
166,4503530,0.635497
167,4503504,0.635494
168,4503478,0.635490
169,4503466,0.635488
170,4503433,0.635484
171,4503419,0.635482
172,4503395,0.635478
173,4503368,0.635475
174,4503351,0.635472
175,4503313,0.635467
176,4503295,0.635464
177,4503275,0.635461
178,4503253,0.635458
179,4503238,0.635456
180,4503223,0.635454
181,4503197,0.635450
182,4503169,0.635446
183,4503149,0.635444
184,4503132,0.635441
185,4503113,0.635439
186,4503089,0.635435
187,4503076,0.635433
188,4503052,0.635430
189,4503034,0.635427
190,4503015,0.635425
191,4502996,0.635422
192,4502974,0.635419
193,4502958,0.635417
194,4502940,0.635414
195,4502919,0.635411
196,4502907,0.635410
197,4502889,0.635407
198,4502866,0.635404
199,4502846,0.635401
200,4502828,0.635398
201,4502806,0.635395
202,4502788,0.635393
203,4502772,0.635390
204,4502747,0.635387
205,4502727,0.635384
206,4502705,0.635381
207,4502683,0.635378
208,4502669,0.635376
209,4502648,0.635373
210,4502638,0.635372
211,4502623,0.635369
212,4502605,0.635367
213,4502589,0.635365
214,4502567,0.635362
215,4502544,0.635358
216,4502525,0.635356
217,4502511,0.635354
218,4502492,0.635351
219,4502479,0.635349
220,4502454,0.635346
221,4502436,0.635343
222,4502415,0.635340
223,4502390,0.635337
224,4502374,0.635334
225,4502365,0.635333
226,4502350,0.635331
227,4502334,0.635329
228,4502319,0.635327
229,4502295,0.635323
230,4502282,0.635321
231,4502265,0.635319
232,4502251,0.635317
233,4502234,0.635315
234,4502220,0.635313
235,4502208,0.635311
236,4502192,0.635309
237,4502179,0.635307
238,4502162,0.635304
239,4502149,0.635303
240,4502138,0.635301
241,4502121,0.635299
242,4502108,0.635297
243,4502100,0.635296
244,4502090,0.635294
245,4502076,0.635292
246,4502069,0.635291
247,4502057,0.635290
248,4502048,0.635288
249,4502030,0.635286
250,4502020,0.635284
251,4502009,0.635283
252,4501994,0.635281
253,4501981,0.635279
254,4501974,0.635278
255,4501961,0.635276
256,4501944,0.635274
257,4501938,0.635273
258,4501927,0.635271
259,4501920,0.635270
260,4501907,0.635268
261,4501893,0.635266
262,4501884,0.635265
263,4501873,0.635264
264,4501861,0.635262
265,4501845,0.635260
266,4501832,0.635258
267,4501820,0.635256
268,4501804,0.635254
269,4501795,0.635253
270,4501787,0.635251
271,4501775,0.635250
272,4501763,0.635248
273,4501755,0.635247
274,4501745,0.635246
275,4501740,0.635245
276,4501726,0.635243
277,4501710,0.635241
278,4501697,0.635239
279,4501683,0.635237
280,4501671,0.635235
281,4501662,0.635234
282,4501655,0.635233
283,4501645,0.635231
284,4501631,0.635229
285,4501621,0.635228
286,4501615,0.635227
287,4501604,0.635226
288,4501598,0.635225
289,4501591,0.635224
290,4501572,0.635221
291,4501554,0.635219
292,4501548,0.635218
293,4501538,0.635216
294,4501530,0.635215
295,4501521,0.635214
296,4501514,0.635213
297,4501505,0.635212
298,4501497,0.635211
299,4501488,0.635209
300,4501477,0.635208
301,4501469,0.635207
302,4501463,0.635206
303,4501456,0.635205
304,4501443,0.635203
305,4501436,0.635202
306,4501423,0.635200
307,4501419,0.635200
308,4501410,0.635198
309,4501397,0.635196
310,4501390,0.635195
311,4501382,0.635194
312,4501374,0.635193
313,4501369,0.635192
314,4501366,0.635192
315,4501356,0.635191
316,4501348,0.635190
317,4501336,0.635188
318,4501326,0.635186
319,4501309,0.635184
320,4501299,0.635183
321,4501284,0.635180
322,4501277,0.635179
323,4501266,0.635178
324,4501253,0.635176
325,4501246,0.635175
326,4501234,0.635173
327,4501229,0.635173
328,4501223,0.635172
329,4501217,0.635171
330,4501211,0.635170
331,4501201,0.635169
332,4501190,0.635167
333,4501184,0.635166
334,4501175,0.635165
335,4501166,0.635164
336,4501156,0.635162
337,4501145,0.635161
338,4501133,0.635159
339,4501130,0.635159
340,4501120,0.635157
341,4501114,0.635156
342,4501109,0.635156
343,4501101,0.635155
344,4501088,0.635153
345,4501079,0.635152
346,4501068,0.635150
347,4501062,0.635149
348,4501057,0.635148
349,4501046,0.635147
350,4501038,0.635146
351,4501029,0.635145
352,4501021,0.635143
353,4501013,0.635142
354,4501007,0.635141
355,4501005,0.635141
356,4500999,0.635140
357,4500996,0.635140
358,4500988,0.635139
359,4500985,0.635138
360,4500977,0.635137
361,4500970,0.635136
362,4500962,0.635135
363,4500959,0.635135
364,4500954,0.635134
365,4500949,0.635133
366,4500946,0.635133
367,4500939,0.635132
368,4500935,0.635131
369,4500930,0.635131
370,4500925,0.635130
371,4500916,0.635129
372,4500911,0.635128
373,4500908,0.635127
374,4500903,0.635127
375,4500896,0.635126
376,4500889,0.635125
377,4500885,0.635124
378,4500876,0.635123
379,4500871,0.635122
380,4500862,0.635121
381,4500857,0.635120
382,4500852,0.635120
383,4500848,0.635119
384,4500840,0.635118
385,4500834,0.635117
386,4500831,0.635117
387,4500824,0.635116
388,4500818,0.635115
389,4500813,0.635114
390,4500801,0.635112
391,4500791,0.635111
392,4500785,0.635110
393,4500780,0.635109
394,4500774,0.635109
395,4500771,0.635108
396,4500767,0.635108
397,4500754,0.635106
398,4500741,0.635104
399,4500731,0.635102
400,4500721,0.635101
401,4500713,0.635100
402,4500710,0.635099
403,4500709,0.635099
404,4500705,0.635099
405,4500698,0.635098
406,4500693,0.635097
407,4500688,0.635096
408,4500685,0.635096
409,4500678,0.635095
410,4500676,0.635095
411,4500674,0.635094
412,4500671,0.635094
413,4500668,0.635094
414,4500665,0.635093
415,4500663,0.635093
416,4500649,0.635091
417,4500645,0.635090
418,4500638,0.635089
419,4500628,0.635088
420,4500622,0.635087
421,4500614,0.635086
422,4500605,0.635085
423,4500599,0.635084
424,4500591,0.635083
425,4500583,0.635082
426,4500580,0.635081
427,4500574,0.635080
428,4500569,0.635080
429,4500562,0.635079
430,4500555,0.635078
431,4500549,0.635077
432,4500542,0.635076
433,4500536,0.635075
434,4500533,0.635075
435,4500529,0.635074
436,4500525,0.635073
437,4500517,0.635072
438,4500509,0.635071
439,4500504,0.635070
440,4500500,0.635070
441,4500494,0.635069
442,4500489,0.635068
443,4500489,0.635068
444,4500483,0.635067
445,4500475,0.635066
446,4500470,0.635066
447,4500467,0.635065
448,4500462,0.635064
449,4500458,0.635064
450,4500454,0.635063
451,4500449,0.635063
452,4500443,0.635062
453,4500439,0.635061
454,4500436,0.635061
455,4500433,0.635060
456,4500430,0.635060
457,4500426,0.635059
458,4500421,0.635059
459,4500418,0.635058
460,4500416,0.635058
461,4500408,0.635057
462,4500404,0.635056
463,4500401,0.635056
464,4500397,0.635055
465,4500392,0.635055
466,4500386,0.635054
467,4500381,0.635053
468,4500380,0.635053
469,4500375,0.635052
470,4500371,0.635052
471,4500369,0.635051
472,4500364,0.635051
473,4500361,0.635050
474,4500357,0.635050
475,4500353,0.635049
476,4500349,0.635049
477,4500345,0.635048
478,4500341,0.635047
479,4500337,0.635047
480,4500333,0.635046
481,4500326,0.635045
482,4500323,0.635045
483,4500322,0.635045
484,4500317,0.635044
485,4500309,0.635043
486,4500304,0.635042
487,4500299,0.635041
488,4500297,0.635041
489,4500291,0.635040
490,4500285,0.635040
491,4500283,0.635039
492,4500276,0.635038
493,4500270,0.635037
494,4500264,0.635037
495,4500260,0.635036
496,4500255,0.635035
497,4500254,0.635035
498,4500249,0.635034
499,4500241,0.635033
500,4500240,0.635033
501,4500235,0.635032
502,4500230,0.635032
503,4500228,0.635031
504,4500226,0.635031
505,4500224,0.635031
506,4500221,0.635030
507,4500219,0.635030
508,4500217,0.635030
509,4500213,0.635029
510,4500210,0.635029
511,4500206,0.635028
512,4500204,0.635028
513,4500203,0.635028
514,4500201,0.635028
515,4500195,0.635027
516,4500192,0.635026
517,4500185,0.635025
518,4500180,0.635025
519,4500176,0.635024
520,4500172,0.635024
521,4500166,0.635023
522,4500161,0.635022
523,4500150,0.635020
524,4500148,0.635020
525,4500143,0.635019
526,4500143,0.635019
527,4500137,0.635019
528,4500133,0.635018
529,4500130,0.635018
530,4500126,0.635017
531,4500124,0.635017
532,4500121,0.635016
533,4500115,0.635016
534,4500105,0.635014
535,4500103,0.635014
536,4500100,0.635013
537,4500094,0.635013
538,4500090,0.635012
539,4500089,0.635012
540,4500089,0.635012
541,4500087,0.635012
542,4500087,0.635012
543,4500086,0.635011
544,4500083,0.635011
545,4500082,0.635011
546,4500082,0.635011
547,4500078,0.635010
548,4500078,0.635010
549,4500077,0.635010
550,4500075,0.635010
551,4500074,0.635010
552,4500071,0.635009
553,4500068,0.635009
554,4500065,0.635008
555,4500064,0.635008
556,4500064,0.635008
557,4500063,0.635008
558,4500062,0.635008
559,4500061,0.635008
560,4500061,0.635008
561,4500061,0.635008
562,4500054,0.635007
563,4500052,0.635007
564,4500048,0.635006
565,4500044,0.635006
566,4500040,0.635005
567,4500038,0.635005
568,4500037,0.635005
569,4500035,0.635004
570,4500031,0.635004
571,4500027,0.635003
572,4500023,0.635003
573,4500021,0.635002
574,4500017,0.635002
575,4500014,0.635001
576,4500012,0.635001
577,4500007,0.635000
578,4500006,0.635000
579,4500006,0.635000
580,4500004,0.635000
581,4500003,0.635000
582,4500000,0.634999
583,4499999,0.634999
584,4499997,0.634999
585,4499995,0.634999
586,4499993,0.634998
587,4499993,0.634998
588,4499990,0.634998
589,4499989,0.634998
590,4499988,0.634998
591,4499987,0.634997
592,4499985,0.634997
593,4499984,0.634997
594,4499982,0.634997
595,4499980,0.634996
596,4499977,0.634996
597,4499975,0.634996
598,4499974,0.634996
599,4499974,0.634996
600,4499972,0.634995
601,4499969,0.634995
602,4499968,0.634995
603,4499966,0.634995
604,4499964,0.634994
605,4499960,0.634994
606,4499957,0.634993
607,4499951,0.634992
608,4499949,0.634992
609,4499945,0.634992
610,4499942,0.634991
611,4499941,0.634991
612,4499937,0.634990
613,4499936,0.634990
614,4499936,0.634990
615,4499935,0.634990
616,4499934,0.634990
617,4499930,0.634989
618,4499929,0.634989
619,4499928,0.634989
620,4499926,0.634989
621,4499925,0.634989
622,4499923,0.634988
623,4499923,0.634988
624,4499923,0.634988
625,4499922,0.634988
626,4499920,0.634988
627,4499918,0.634988
628,4499917,0.634988
629,4499916,0.634987
630,4499916,0.634987
631,4499914,0.634987
632,4499912,0.634987
633,4499910,0.634987
634,4499909,0.634986
635,4499907,0.634986
636,4499906,0.634986
637,4499905,0.634986
638,4499903,0.634986
639,4499903,0.634986
640,4499902,0.634985
641,4499898,0.634985
642,4499894,0.634984
643,4499894,0.634984
644,4499889,0.634984
645,4499888,0.634983
646,4499885,0.634983
647,4499884,0.634983
648,4499878,0.634982
649,4499877,0.634982
650,4499874,0.634982
651,4499872,0.634981
652,4499868,0.634981
653,4499868,0.634981
654,4499863,0.634980
655,4499861,0.634980
656,4499861,0.634980
657,4499858,0.634979
658,4499856,0.634979
659,4499855,0.634979
660,4499853,0.634979
661,4499850,0.634978
662,4499847,0.634978
663,4499845,0.634977
664,4499844,0.634977
665,4499840,0.634977
666,4499838,0.634976
667,4499836,0.634976
668,4499835,0.634976
669,4499830,0.634975
670,4499828,0.634975
671,4499826,0.634975
672,4499824,0.634974
673,4499821,0.634974
674,4499819,0.634974
675,4499816,0.634973
676,4499813,0.634973
677,4499813,0.634973
678,4499812,0.634973
679,4499811,0.634973
680,4499810,0.634972
681,4499808,0.634972
682,4499806,0.634972
683,4499804,0.634972
684,4499801,0.634971
685,4499799,0.634971
686,4499797,0.634971
687,4499797,0.634971
688,4499794,0.634970
689,4499791,0.634970
690,4499789,0.634970
691,4499789,0.634970
692,4499789,0.634970
693,4499788,0.634969
694,4499787,0.634969
695,4499786,0.634969
696,4499786,0.634969
697,4499785,0.634969
698,4499784,0.634969
699,4499784,0.634969
700,4499781,0.634968
701,4499778,0.634968
702,4499778,0.634968
703,4499776,0.634968
704,4499774,0.634967
705,4499774,0.634967
706,4499772,0.634967
707,4499771,0.634967
708,4499770,0.634967
709,4499769,0.634967
710,4499764,0.634966
711,4499763,0.634966
712,4499763,0.634966
713,4499761,0.634966
714,4499760,0.634965
715,4499758,0.634965
716,4499757,0.634965
717,4499757,0.634965
718,4499755,0.634965
719,4499755,0.634965
720,4499755,0.634965
721,4499755,0.634965
722,4499755,0.634965
723,4499755,0.634965
724,4499751,0.634964
725,4499751,0.634964
726,4499751,0.634964
727,4499750,0.634964
728,4499748,0.634964
729,4499747,0.634964
730,4499747,0.634964
731,4499744,0.634963
732,4499744,0.634963
733,4499742,0.634963
734,4499742,0.634963
735,4499742,0.634963
736,4499741,0.634963
737,4499741,0.634963
738,4499739,0.634962
739,4499738,0.634962
740,4499737,0.634962
741,4499736,0.634962
742,4499736,0.634962
743,4499736,0.634962
744,4499735,0.634962
745,4499735,0.634962
746,4499735,0.634962
