Total Accesses:,7086622
Frames,Missees,Miss Rate
1,5876186,0.829194
2,4324780,0.610274
3,4299284,0.606676
4,4283710,0.604478
5,4274769,0.603217
6,4267246,0.602155
7,4254100,0.600300
8,4229735,0.596862
9,4199081,0.592536
10,4173699,0.588955
11,4158767,0.586848
12,4146917,0.585175
13,4134339,0.583401
14,4120495,0.581447
15,4107281,0.579582
16,4095908,0.577977
17,4085824,0.576555
18,4076076,0.575179
19,4066332,0.573804
20,4056412,0.572404
21,4046630,0.571024
22,4037361,0.569716
23,4028868,0.568517
24,4021523,0.567481
25,4015176,0.566585
26,4009620,0.565801
27,4004905,0.565136
28,4000964,0.564580
29,3997755,0.564127
30,3994887,0.563722
31,3992431,0.563376
32,3990300,0.563075
33,3988433,0.562812
34,3986745,0.562573
35,3985243,0.562361
36,3983906,0.562173
37,3982619,0.561991
38,3981429,0.561823
39,3980292,0.561663
40,3979305,0.561524
41,3978327,0.561386
42,3977386,0.561253
43,3976499,0.561128
44,3975589,0.560999
45,3974710,0.560875
46,3973909,0.560762
47,3973147,0.560655
48,3972394,0.560548
49,3971625,0.560440
50,3970931,0.560342
51,3970227,0.560243
52,3969518,0.560142
53,3968845,0.560048
54,3968183,0.559954
55,3967573,0.559868
56,3966960,0.559782
57,3966348,0.559695
58,3965746,0.559610
59,3965147,0.559526
60,3964568,0.559444
61,3964010,0.559365
62,3963444,0.559285
63,3962940,0.559214
64,3962449,0.559145
65,3961983,0.559079
66,3961482,0.559009
67,3960989,0.558939
68,3960565,0.558879
69,3960123,0.558817
70,3959706,0.558758
71,3959249,0.558693
72,3958847,0.558637
73,3958412,0.558575
74,3957982,0.558515
75,3957545,0.558453
76,3957138,0.558396
77,3956754,0.558341
78,3956403,0.558292
79,3956026,0.558239
80,3955652,0.558186
81,3955314,0.558138
82,3954974,0.558090
83,3954613,0.558039
84,3954300,0.557995
85,3953966,0.557948
86,3953639,0.557902
87,3953315,0.557856
88,3952993,0.557811
89,3952725,0.557773
90,3952429,0.557731
91,3952138,0.557690
92,3951844,0.557648
93,3951574,0.557610
94,3951278,0.557569
95,3950983,0.557527
96,3950702,0.557487
97,3950429,0.557449
98,3950173,0.557413
99,3949887,0.557372
100,3949652,0.557339
101,3949415,0.557306
102,3949127,0.557265
103,3948850,0.557226
104,3948585,0.557189
105,3948355,0.557156
106,3948119,0.557123
107,3947883,0.557090
108,3947656,0.557058
109,3947414,0.557023
110,3947189,0.556992
111,3946948,0.556958
112,3946707,0.556924
113,3946483,0.556892
114,3946282,0.556864
115,3946054,0.556831
116,3945808,0.556797
117,3945606,0.556768
118,3945403,0.556740
119,3945182,0.556708
120,3944974,0.556679
121,3944780,0.556652
122,3944599,0.556626
123,3944406,0.556599
124,3944219,0.556573
125,3944024,0.556545
126,3943841,0.556519
127,3943659,0.556493
128,3943483,0.556469
129,3943317,0.556445
130,3943135,0.556420
131,3942964,0.556395
132,3942764,0.556367
133,3942597,0.556344
134,3942443,0.556322
135,3942282,0.556299
136,3942122,0.556277
137,3941965,0.556254
138,3941822,0.556234
139,3941662,0.556212
140,3941517,0.556191
141,3941363,0.556169
142,3941227,0.556150
143,3941050,0.556125
144,3940913,0.556106
145,3940746,0.556082
146,3940604,0.556062
147,3940439,0.556039
148,3940296,0.556019
149,3940164,0.556000
150,3940030,0.555981
151,3939853,0.555956
152,3939708,0.555936
153,3939581,0.555918
154,3939443,0.555899
155,3939295,0.555878
156,3939147,0.555857
157,3938993,0.555835
158,3938850,0.555815
159,3938697,0.555793
160,3938572,0.555776
161,3938450,0.555758
162,3938332,0.555742
163,3938203,0.555724
164,3938079,0.555706
165,3937951,0.555688
166,3937824,0.555670
167,3937709,0.555654
168,3937625,0.555642
169,3937491,0.555623
170,3937376,0.555607
171,3937256,0.555590
172,3937128,0.555572
173,3937037,0.555559
174,3936926,0.555543
175,3936825,0.555529
176,3936713,0.555513
177,3936586,0.555495
178,3936469,0.555479
179,3936357,0.555463
180,3936259,0.555449
181,3936146,0.555433
182,3936040,0.555418
183,3935938,0.555404
184,3935826,0.555388
185,3935706,0.555371
186,3935602,0.555357
187,3935506,0.555343
188,3935400,0.555328
189,3935301,0.555314
190,3935198,0.555300
191,3935081,0.555283
192,3934987,0.555270
193,3934890,0.555256
194,3934784,0.555241
195,3934653,0.555223
196,3934552,0.555208
197,3934443,0.555193
198,3934354,0.555180
199,3934269,0.555168
200,3934152,0.555152
201,3934050,0.555138
202,3933957,0.555124
203,3933863,0.555111
204,3933748,0.555095
205,3933658,0.555082
206,3933570,0.555070
207,3933455,0.555054
208,3933353,0.555039
209,3933260,0.555026
210,3933162,0.555012
211,3933071,0.554999
212,3932958,0.554983
213,3932870,0.554971
214,3932778,0.554958
215,3932695,0.554946
216,3932619,0.554936
217,3932541,0.554925
218,3932445,0.554911
219,3932350,0.554898
220,3932274,0.554887
221,3932197,0.554876
222,3932115,0.554865
223,3932039,0.554854
224,3931960,0.554843
225,3931887,0.554832
226,3931813,0.554822
227,3931723,0.554809
228,3931628,0.554796
229,3931533,0.554782
230,3931449,0.554771
231,3931362,0.554758
232,3931273,0.554746
233,3931174,0.554732
234,3931091,0.554720
235,3931028,0.554711
236,3930954,0.554701
237,3930863,0.554688
238,3930791,0.554678
239,3930699,0.554665
240,3930613,0.554653
241,3930540,0.554642
242,3930471,0.554633
243,3930396,0.554622
244,3930317,0.554611
245,3930237,0.554599
246,3930175,0.554591
247,3930096,0.554580
248,3930027,0.554570
249,3929958,0.554560
250,3929887,0.554550
251,3929810,0.554539
252,3929739,0.554529
253,3929672,0.554520
254,3929611,0.554511
255,3929549,0.554502
256,3929478,0.554492
257,3929407,0.554482
258,3929351,0.554474
259,3929291,0.554466
260,3929229,0.554457
261,3929157,0.554447
262,3929082,0.554437
263,3929027,0.554429
264,3928949,0.554418
265,3928885,0.554409
266,3928818,0.554399
267,3928738,0.554388
268,3928663,0.554377
269,3928592,0.554367
270,3928514,0.554356
271,3928444,0.554346
272,3928381,0.554338
273,3928325,0.554330
274,3928271,0.554322
275,3928211,0.554314
276,3928153,0.554305
277,3928101,0.554298
278,3928045,0.554290
279,3927980,0.554281
280,3927922,0.554273
281,3927871,0.554266
282,3927825,0.554259
283,3927784,0.554253
284,3927724,0.554245
285,3927678,0.554238
286,3927615,0.554230
287,3927570,0.554223
288,3927524,0.554217
289,3927473,0.554209
290,3927427,0.554203
291,3927371,0.554195
292,3927307,0.554186
293,3927255,0.554179
294,3927205,0.554172
295,3927145,0.554163
296,3927092,0.554156
297,3927044,0.554149
298,3926992,0.554142
299,3926942,0.554135
300,3926894,0.554128
301,3926837,0.554120
302,3926782,0.554112
303,3926734,0.554105
304,3926692,0.554099
305,3926635,0.554091
306,3926589,0.554085
307,3926535,0.554077
308,3926493,0.554071
309,3926445,0.554064
310,3926393,0.554057
311,3926331,0.554048
312,3926274,0.554040
313,3926230,0.554034
314,3926171,0.554026
315,3926121,0.554019
316,3926062,0.554010
317,3926004,0.554002
318,3925957,0.553996
319,3925912,0.553989
320,3925854,0.553981
321,3925807,0.553974
322,3925759,0.553968
323,3925703,0.553960
324,3925653,0.553953
325,3925613,0.553947
326,3925569,0.553941
327,3925518,0.553934
328,3925471,0.553927
329,3925409,0.553918
330,3925368,0.553912
331,3925313,0.553905
332,3925250,0.553896
333,3925186,0.553887
334,3925136,0.553880
335,3925075,0.553871
336,3925025,0.553864
337,3924975,0.553857
338,3924925,0.553850
339,3924890,0.553845
340,3924834,0.553837
341,3924775,0.553829
342,3924742,0.553824
343,3924699,0.553818
344,3924667,0.553814
345,3924628,0.553808
346,3924583,0.553802
347,3924530,0.553794
348,3924479,0.553787
349,3924419,0.553779
350,3924371,0.553772
351,3924325,0.553765
352,3924275,0.553758
353,3924240,0.553753
354,3924191,0.553746
355,3924151,0.553741
356,3924111,0.553735
357,3924060,0.553728
358,3924010,0.553721
359,3923968,0.553715
360,3923927,0.553709
361,3923883,0.553703
362,3923850,0.553698
363,3923824,0.553695
364,3923789,0.553690
365,3923757,0.553685
366,3923707,0.553678
367,3923668,0.553673
368,3923631,0.553667
369,3923587,0.553661
370,3923554,0.553656
371,3923520,0.553652
372,3923471,0.553645
373,3923421,0.553638
374,3923383,0.553632
375,3923347,0.553627
376,3923312,0.553622
377,3923275,0.553617
378,3923231,0.553611
379,3923196,0.553606
380,3923152,0.553600
381,3923120,0.553595
382,3923084,0.553590
383,3923049,0.553585
384,3923008,0.553579
385,3922967,0.553574
386,3922928,0.553568
387,3922889,0.553563
388,3922855,0.553558
389,3922815,0.553552
390,3922777,0.553547
391,3922734,0.553541
392,3922695,0.553535
393,3922658,0.553530
394,3922617,0.553524
395,3922584,0.553520
396,3922540,0.553513
397,3922499,0.553508
398,3922469,0.553503
399,3922430,0.553498
400,3922386,0.553492
401,3922356,0.553487
402,3922326,0.553483
403,3922284,0.553477
404,3922255,0.553473
405,3922218,0.553468
406,3922184,0.553463
407,3922151,0.553458
408,3922114,0.553453
409,3922071,0.553447
410,3922032,0.553442
411,3921988,0.553435
412,3921947,0.553430
413,3921905,0.553424
414,3921868,0.553419
415,3921832,0.553413
416,3921793,0.553408
417,3921754,0.553402
418,3921718,0.553397
419,3921675,0.553391
420,3921646,0.553387
421,3921599,0.553381
422,3921570,0.553376
423,3921529,0.553371
424,3921496,0.553366
425,3921458,0.553361
426,3921421,0.553355
427,3921385,0.553350
428,3921355,0.553346
429,3921325,0.553342
430,3921299,0.553338
431,3921273,0.553335
432,3921254,0.553332
433,3921233,0.553329
434,3921216,0.553327
435,3921195,0.553324
436,3921167,0.553320
437,3921150,0.553317
438,3921134,0.553315
439,3921106,0.553311
440,3921078,0.553307
441,3921049,0.553303
442,3921035,0.553301
